k,nsteps,mpi_procs,omp_threads,evolution,time
40000,100,4,47,1,11.709419
40000,100,4,48,1,11.452882
40000,100,4,49,1,11.272105
40000,100,4,50,1,10.978533
40000,100,4,51,1,10.821322
40000,100,4,52,1,10.612902
40000,100,4,53,1,10.479360
40000,100,4,54,1,10.317552
40000,100,4,55,1,10.104898
40000,100,4,56,1,9.958059
40000,100,4,57,1,9.741387
40000,100,4,58,1,9.560675
40000,100,4,59,1,9.405681
40000,100,4,60,1,9.213977
40000,100,4,61,1,9.031238
40000,100,4,62,1,8.962791
40000,100,4,63,1,8.840645
40000,100,4,64,1,8.677799
