7000, 7000, 7000, 0.443896, 1545.406326
7000x7000x7000	0.443896 s	1545.406326 GFLOPS
7000, 7000, 7000, 0.420428, 1631.669811
7000x7000x7000	0.420428 s	1631.669811 GFLOPS
7500, 7500, 7500, 0.528452, 1596.643947
7500x7500x7500	0.528452 s	1596.643947 GFLOPS
7500, 7500, 7500, 0.519439, 1624.347353
7500x7500x7500	0.519439 s	1624.347353 GFLOPS
7500, 7500, 7500, 0.534896, 1577.408892
7500x7500x7500	0.534896 s	1577.408892 GFLOPS
7500, 7500, 7500, 0.542573, 1555.090710
7500x7500x7500	0.542573 s	1555.090710 GFLOPS
7500, 7500, 7500, 0.522783, 1613.958941
7500x7500x7500	0.522783 s	1613.958941 GFLOPS
8000, 8000, 8000, 0.636275, 1609.366612
8000x8000x8000	0.636275 s	1609.366612 GFLOPS
8000, 8000, 8000, 0.646419, 1584.113064
8000x8000x8000	0.646419 s	1584.113064 GFLOPS
8000, 8000, 8000, 0.638359, 1604.113089
8000x8000x8000	0.638359 s	1604.113089 GFLOPS
8000, 8000, 8000, 0.629675, 1626.235715
8000x8000x8000	0.629675 s	1626.235715 GFLOPS
8000, 8000, 8000, 0.623931, 1641.206645
8000x8000x8000	0.623931 s	1641.206645 GFLOPS
8500, 8500, 8500, 0.764011, 1607.633023
8500x8500x8500	0.764011 s	1607.633023 GFLOPS
8500, 8500, 8500, 0.737698, 1664.976470
8500x8500x8500	0.737698 s	1664.976470 GFLOPS
8500, 8500, 8500, 0.734013, 1673.334759
8500x8500x8500	0.734013 s	1673.334759 GFLOPS
8500, 8500, 8500, 0.748170, 1641.672935
8500x8500x8500	0.748170 s	1641.672935 GFLOPS
8500, 8500, 8500, 0.736399, 1667.912929
8500x8500x8500	0.736399 s	1667.912929 GFLOPS
9000, 9000, 9000, 0.849823, 1715.651227
9000x9000x9000	0.849823 s	1715.651227 GFLOPS
9000, 9000, 9000, 0.885589, 1646.361141
9000x9000x9000	0.885589 s	1646.361141 GFLOPS
9000, 9000, 9000, 0.847664, 1720.020570
9000x9000x9000	0.847664 s	1720.020570 GFLOPS
9000, 9000, 9000, 0.844307, 1726.859151
9000x9000x9000	0.844307 s	1726.859151 GFLOPS
9000, 9000, 9000, 0.847202, 1720.959994
9000x9000x9000	0.847202 s	1720.959994 GFLOPS
9500, 9500, 9500, 0.958548, 1788.902991
9500x9500x9500	0.958548 s	1788.902991 GFLOPS
9500, 9500, 9500, 0.963321, 1780.040127
9500x9500x9500	0.963321 s	1780.040127 GFLOPS
9500, 9500, 9500, 0.952663, 1799.955141
9500x9500x9500	0.952663 s	1799.955141 GFLOPS
9500, 9500, 9500, 0.961680, 1783.077418
9500x9500x9500	0.961680 s	1783.077418 GFLOPS
9500, 9500, 9500, 0.964352, 1778.137927
9500x9500x9500	0.964352 s	1778.137927 GFLOPS
10000, 10000, 10000, 1.137652, 1758.006280
10000x10000x10000	1.137652 s	1758.006280 GFLOPS
10000, 10000, 10000, 1.135195, 1761.811425
10000x10000x10000	1.135195 s	1761.811425 GFLOPS
10000, 10000, 10000, 1.101120, 1816.332140
10000x10000x10000	1.101120 s	1816.332140 GFLOPS
10000, 10000, 10000, 1.153013, 1734.585223
10000x10000x10000	1.153013 s	1734.585223 GFLOPS
10000, 10000, 10000, 1.125371, 1777.192240
10000x10000x10000	1.125371 s	1777.192240 GFLOPS
10500, 10500, 10500, 1.249411, 1853.073156
10500x10500x10500	1.249411 s	1853.073156 GFLOPS
10500, 10500, 10500, 1.266654, 1827.847092
10500x10500x10500	1.266654 s	1827.847092 GFLOPS
10500, 10500, 10500, 1.267729, 1826.296741
10500x10500x10500	1.267729 s	1826.296741 GFLOPS
10500, 10500, 10500, 1.273347, 1818.239160
10500x10500x10500	1.273347 s	1818.239160 GFLOPS
10500, 10500, 10500, 1.280698, 1807.803026
10500x10500x10500	1.280698 s	1807.803026 GFLOPS
11000, 11000, 11000, 1.555831, 1710.982745
11000x11000x11000	1.555831 s	1710.982745 GFLOPS
11000, 11000, 11000, 1.502931, 1771.205256
11000x11000x11000	1.502931 s	1771.205256 GFLOPS
11000, 11000, 11000, 1.555086, 1711.802627
11000x11000x11000	1.555086 s	1711.802627 GFLOPS
11000, 11000, 11000, 1.483472, 1794.439090
11000x11000x11000	1.483472 s	1794.439090 GFLOPS
11000, 11000, 11000, 1.498930, 1775.933660
11000x11000x11000	1.498930 s	1775.933660 GFLOPS
11500, 11500, 11500, 1.591636, 1911.083395
11500x11500x11500	1.591636 s	1911.083395 GFLOPS
11500, 11500, 11500, 1.659525, 1832.903658
11500x11500x11500	1.659525 s	1832.903658 GFLOPS
11500, 11500, 11500, 1.664102, 1827.862238
11500x11500x11500	1.664102 s	1827.862238 GFLOPS
11500, 11500, 11500, 1.662398, 1829.736138
11500x11500x11500	1.662398 s	1829.736138 GFLOPS
11500, 11500, 11500, 1.657781, 1834.831991
11500x11500x11500	1.657781 s	1834.831991 GFLOPS
12000, 12000, 12000, 1.851918, 1866.173686
12000x12000x12000	1.851918 s	1866.173686 GFLOPS
12000, 12000, 12000, 1.838262, 1880.036324
12000x12000x12000	1.838262 s	1880.036324 GFLOPS
12000, 12000, 12000, 1.858117, 1859.947303
12000x12000x12000	1.858117 s	1859.947303 GFLOPS
12000, 12000, 12000, 1.838468, 1879.825833
12000x12000x12000	1.838468 s	1879.825833 GFLOPS
12000, 12000, 12000, 1.909111, 1810.266935
12000x12000x12000	1.909111 s	1810.266935 GFLOPS
12500, 12500, 12500, 2.059962, 1896.272639
12500x12500x12500	2.059962 s	1896.272639 GFLOPS
12500, 12500, 12500, 2.060435, 1895.837079
12500x12500x12500	2.060435 s	1895.837079 GFLOPS
12500, 12500, 12500, 2.062273, 1894.147939
12500x12500x12500	2.062273 s	1894.147939 GFLOPS
12500, 12500, 12500, 2.045298, 1909.868134
12500x12500x12500	2.045298 s	1909.868134 GFLOPS
12500, 12500, 12500, 2.004400, 1948.837317
12500x12500x12500	2.004400 s	1948.837317 GFLOPS
13000, 13000, 13000, 2.278412, 1928.535893
13000x13000x13000	2.278412 s	1928.535893 GFLOPS
13000, 13000, 13000, 2.266148, 1938.973195
13000x13000x13000	2.266148 s	1938.973195 GFLOPS
13000, 13000, 13000, 2.259253, 1944.890263
13000x13000x13000	2.259253 s	1944.890263 GFLOPS
13000, 13000, 13000, 2.252272, 1950.919318
13000x13000x13000	2.252272 s	1950.919318 GFLOPS
13000, 13000, 13000, 2.253702, 1949.681035
13000x13000x13000	2.253702 s	1949.681035 GFLOPS
13500, 13500, 13500, 2.513475, 1957.747480
13500x13500x13500	2.513475 s	1957.747480 GFLOPS
13500, 13500, 13500, 2.531419, 1943.870364
13500x13500x13500	2.531419 s	1943.870364 GFLOPS
13500, 13500, 13500, 2.526843, 1947.390153
13500x13500x13500	2.526843 s	1947.390153 GFLOPS
13500, 13500, 13500, 2.594845, 1896.355821
13500x13500x13500	2.594845 s	1896.355821 GFLOPS
13500, 13500, 13500, 2.548300, 1930.992947
13500x13500x13500	2.548300 s	1930.992947 GFLOPS
14000, 14000, 14000, 2.840652, 1931.950941
14000x14000x14000	2.840652 s	1931.950941 GFLOPS
14000, 14000, 14000, 2.787571, 1968.739302
14000x14000x14000	2.787571 s	1968.739302 GFLOPS
14000, 14000, 14000, 2.883731, 1903.090231
14000x14000x14000	2.883731 s	1903.090231 GFLOPS
14000, 14000, 14000, 2.784263, 1971.077952
14000x14000x14000	2.784263 s	1971.077952 GFLOPS
14000, 14000, 14000, 2.816081, 1948.807317
14000x14000x14000	2.816081 s	1948.807317 GFLOPS
14500, 14500, 14500, 3.066167, 1988.557519
14500x14500x14500	3.066167 s	1988.557519 GFLOPS
14500, 14500, 14500, 3.018473, 2019.978082
14500x14500x14500	3.018473 s	2019.978082 GFLOPS
14500, 14500, 14500, 3.118874, 1954.952239
14500x14500x14500	3.118874 s	1954.952239 GFLOPS
14500, 14500, 14500, 3.139775, 1941.938661
14500x14500x14500	3.139775 s	1941.938661 GFLOPS
14500, 14500, 14500, 3.182752, 1915.716331
14500x14500x14500	3.182752 s	1915.716331 GFLOPS
15000, 15000, 15000, 3.428011, 1969.071630
15000x15000x15000	3.428011 s	1969.071630 GFLOPS
15000, 15000, 15000, 2.976141, 2268.037910
15000x15000x15000	2.976141 s	2268.037910 GFLOPS
15000, 15000, 15000, 3.444761, 1959.497306
15000x15000x15000	3.444761 s	1959.497306 GFLOPS
15000, 15000, 15000, 2.886715, 2338.298181
